2025-08-14 17:13:15,377 - {'ts': '2025-08-14 15:13:00+0000', 'symbol': 'AWE/USDT', 'price': 0.05204, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.05195081, 'tp': 0.0521827}
2025-08-14 17:14:38,570 - {'ts': '2025-08-14 15:14:00+0000', 'symbol': 'AXL/USDT', 'price': 0.3497, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.34821204, 'tp': 0.35208073}
2025-08-14 17:15:54,911 - {'ts': '2025-08-14 15:15:00+0000', 'symbol': 'AXS/USDT', 'price': 2.452, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 2.4427612, 'tp': 2.46678208}
2025-08-14 17:17:13,020 - {'ts': '2025-08-14 15:17:00+0000', 'symbol': 'BABY/USDT', 'price': 0.06048, 'score': 0, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.06022814, 'tp': 0.06088297}
2025-08-14 17:18:28,525 - {'ts': '2025-08-14 15:18:00+0000', 'symbol': 'BAKE/USDT', 'price': 0.0864, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.08609206, 'tp': 0.0868927}
2025-08-14 17:19:53,890 - {'ts': '2025-08-14 15:19:00+0000', 'symbol': 'BANANA/USDT', 'price': 25.05, 'score': 0, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 24.93021347, 'tp': 25.24165846}
2025-08-14 17:21:13,213 - {'ts': '2025-08-14 15:21:00+0000', 'symbol': 'BANANAS31/USDT', 'price': 0.006924, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.0068877, 'tp': 0.00698209}
2025-08-14 17:22:29,847 - {'ts': '2025-08-14 15:22:00+0000', 'symbol': 'BAND/USDT', 'price': 0.704, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.70070449, 'tp': 0.70927282}
2025-08-14 17:23:43,127 - {'ts': '2025-08-14 15:23:00+0000', 'symbol': 'BAR/USDT', 'price': 1.304, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 1.29238992, 'tp': 1.32257613}
2025-08-14 17:24:54,497 - {'ts': '2025-08-14 15:24:00+0000', 'symbol': 'BAT/USDT', 'price': 0.1524, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.15187253, 'tp': 0.15324395}
2025-08-14 17:26:19,232 - {'ts': '2025-08-14 15:26:00+0000', 'symbol': 'BB/USDT', 'price': 0.1151, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.11445947, 'tp': 0.11612484}
2025-08-14 17:27:51,099 - {'ts': '2025-08-14 15:27:00+0000', 'symbol': 'BCH/USDT', 'price': 591.5, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 589.77895575, 'tp': 594.2536708}
2025-08-14 17:29:07,524 - {'ts': '2025-08-14 15:29:00+0000', 'symbol': 'BEAMX/USDT', 'price': 0.00778, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.00773534, 'tp': 0.00785146}
2025-08-14 17:30:23,830 - {'ts': '2025-08-14 15:30:00+0000', 'symbol': 'BEL/USDT', 'price': 0.2608, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.25992468, 'tp': 0.26220051}
2025-08-14 17:31:43,931 - {'ts': '2025-08-14 15:31:00+0000', 'symbol': 'BERA/USDT', 'price': 2.102, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 2.07618538, 'tp': 2.14330339}
