open_time,side,entry,sl,tp,exit_time,R,equity,win
2025-08-13 08:05:00,LONG,119628.1,119443.85410014504,119996.59179970993,2025-08-13 08:59:59.999,2.0,0.0,True
2025-08-13 09:00:00,LONG,120015.6,119837.63064807383,120371.53870385236,2025-08-13 09:24:59.999,-1.0,0.0,False
2025-08-13 09:25:00,LONG,119898.8,119698.69794312875,120299.00411374251,2025-08-13 10:14:59.999,2.0,0.0,True
2025-08-13 10:15:00,LONG,120350.4,120142.24787292673,120766.70425414653,2025-08-13 13:44:59.999,-1.0,0.0,False
2025-08-13 13:50:00,LONG,121045.9,120716.27024070526,121705.15951858945,2025-08-13 13:59:59.999,2.0,0.0,True
2025-08-13 14:00:00,LONG,121777.3,121353.13148305709,122625.63703388581,2025-08-13 14:49:59.999,-1.0,0.0,False
2025-08-13 15:45:00,LONG,121305.9,120782.75430516321,122352.19138967358,2025-08-13 19:24:59.999,2.0,0.0,True
2025-08-13 19:25:00,LONG,122469.8,122126.0856937895,123157.228612421,2025-08-13 22:44:59.999,2.0,0.0,True
2025-08-13 22:45:00,LONG,123531.7,123204.05697163996,124186.98605672007,2025-08-13 22:59:59.999,-1.0,0.0,False
2025-08-13 23:05:00,LONG,123173.4,122809.39066709207,123901.41866581584,2025-08-14 00:19:59.999,2.0,0.0,True
2025-08-14 00:20:00,LONG,123950.9,123613.62323157598,124625.45353684801,2025-08-14 00:54:59.999,-1.0,0.0,False
2025-08-14 01:00:00,LONG,123871.1,123454.9101824018,124703.47963519642,2025-08-14 01:19:59.999,-1.0,0.0,False
2025-08-14 02:55:00,LONG,123733.0,123452.76448583356,124293.47102833289,2025-08-14 03:39:59.999,-1.0,0.0,False
2025-08-14 04:35:00,SHORT,123237.2,123465.05154706941,122781.49690586116,2025-08-14 05:29:59.999,2.0,0.0,True
2025-08-14 05:30:00,SHORT,122766.0,122986.16491226901,122325.67017546196,2025-08-14 05:54:59.999,2.0,0.0,True
2025-08-14 05:55:00,SHORT,122283.6,122544.02489526519,121762.75020946964,2025-08-14 06:04:59.999,2.0,0.0,True
2025-08-14 06:05:00,SHORT,121889.5,122176.19442499906,121316.11115000187,2025-08-14 10:44:59.999,2.0,0.0,True
2025-08-14 10:45:00,SHORT,121168.2,121417.0644595562,120670.47108088758,2025-08-14 11:34:59.999,2.0,0.0,True
2025-08-14 11:35:00,SHORT,120782.2,121039.68720639804,120267.2255872039,2025-08-14 12:19:59.999,-1.0,0.0,False
2025-08-14 12:20:00,SHORT,120643.3,120882.81916886398,120164.26166227204,2025-08-14 12:29:59.999,-1.0,0.0,False
2025-08-14 12:35:00,SHORT,118612.7,119198.39022011448,117441.31955977101,2025-08-14 12:44:59.999,-1.0,0.0,False
2025-08-14 12:45:00,SHORT,119478.5,120265.12804693545,117905.2439061291,2025-08-14 13:44:59.999,2.0,0.0,True
2025-08-14 13:45:00,SHORT,118215.2,119048.68872057865,116548.2225588427,2025-08-14 14:34:59.999,-1.0,0.0,False
